Date,Open,High,Low,Close
2017-06-07,2556.41,2903.44,2556.41,2716.06
2017-06-11,2824.2,3013.71,2817.06,3013.71
2017-06-15,2701.26,2736.19,2444.49,2444.49
2017-06-19,2513.81,2683.57,2513.81,2620.14
2017-06-23,2777.79,2777.79,2717.0,2737.75
2017-06-27,2618.42,2618.42,2488.19,2531.35
2017-06-30,2575.44,2575.44,2490.75,2490.75
2017-07-03,2439.82,2576.71,2439.82,2576.71
2017-07-07,2611.0,2612.67,2509.22,2509.22
2017-07-11,2563.2,2563.2,2353.91,2353.91
2017-07-15,2387.33,2387.33,2033.29,2033.29
2017-07-19,1927.1,2303.89,1927.1,2274.62
2017-07-23,2766.83,2802.35,2658.07,2731.6
2017-07-27,2751.35,2751.35,2507.39,2649.44
2017-07-31,2798.83,2871.37,2720.1,2871.37
2017-08-03,2737.76,2777.37,2697.85,2777.37
2017-08-07,2845.9,3356.71,2845.9,3356.71
2017-08-11,3410.45,3562.59,3330.9,3562.59
2017-08-15,3800.14,4175.7,3800.14,4149.31
2017-08-19,4262.56,4286.92,4097.69,4115.21
2017-08-23,4001.23,4069.08,3935.23,4069.08
2017-08-27,4167.29,4199.89,4116.47,4116.47
2017-08-31,4216.24,4702.94,4216.24,4702.94
2017-09-03,4863.19,4863.19,4556.6,4632.46
2017-09-07,4317.19,4592.25,4317.19,4584.82
2017-09-11,4285.21,4285.21,4132.66,4164.98
2017-09-15,4130.96,4130.96,3100.67,3587.94
2017-09-19,3606.28,4012.29,3553.43,3898.93
2017-09-23,3858.02,3858.02,3622.18,3763.41
2017-09-27,3672.31,4134.21,3672.31,4134.21
2017-09-30,4134.88,4297.79,4130.42,4297.79
2017-10-03,4347.58,4383.33,4319.07,4319.07
2017-10-07,4231.46,4405.02,4231.46,4405.02
2017-10-11,4562.32,4807.93,4562.32,4807.93
2017-10-15,5331.62,5684.05,5331.62,5684.05
2017-10-19,5728.93,5728.93,5592.78,5696.38
2017-10-23,5952.77,6043.97,5952.77,5959.98
2017-10-27,5550.08,5883.05,5550.08,5775.52
2017-10-31,5734.31,6368.65,5734.31,6368.65
2017-11-03,6714.79,7234.74,6714.79,7234.74
2017-11-07,7390.54,7416.27,7103.05,7166.74
2017-11-11,7461.82,7461.82,6365.4,6365.4
2017-11-15,5866.51,7297.67,5866.51,7297.67
2017-11-19,7814.94,8011.15,7783.54,8011.15
2017-11-23,8220.51,8257.12,8114.13,8117.66
2017-11-27,8278.13,9831.4,8278.13,9831.4
2017-11-30,10257.07,10406.19,9875.89,10406.19
2017-12-03,10995.72,11256.7,10995.72,11256.7
2017-12-07,11634.98,18491.18,11634.98,18491.18
2017-12-11,16908.0,17106.51,15266.43,17106.51
2017-12-15,17249.92,17978.63,16525.04,17978.63
2017-12-19,19665.39,19665.39,18174.19,18174.19
2017-12-23,17059.89,17059.89,14084.82,15241.92
2017-12-27,14451.11,16616.68,14302.75,16373.08
2017-12-31,15067.9,15096.56,13620.36,14839.59
2018-01-03,14093.61,15583.89,14093.61,15583.89
2018-01-07,15976.37,18343.66,15976.37,17039.87
2018-01-11,15900.37,15900.37,14050.57,14050.57
2018-01-15,14759.29,15193.31,14412.0,14412.0
2018-01-19,11723.91,11758.47,11415.39,11758.47
2018-01-23,13260.27,13260.27,10894.0,10894.0
2018-01-27,11277.12,11456.21,11044.91,11456.21
2018-01-31,11665.7,11665.7,9989.69,9989.69
2018-02-03,10114.5,10114.5,8830.16,8830.16
2018-02-07,8994.91,8994.91,6852.05,7711.22
2018-02-11,7611.61,8650.72,7611.61,8574.68
2018-02-15,8168.64,9428.03,8168.64,9428.03
2018-02-19,10112.58,11006.65,10112.58,10523.43
2018-02-23,11103.09,11502.38,9973.59,10032.86
2018-02-27,10301.88,10355.58,9699.52,10355.58
2018-02-28,10709.39,11098.08,10346.66,11098.08
2018-03-07,11356.04,11526.42,10727.72,10727.72
2018-03-11,9999.68,9999.68,8890.87,8890.87
2018-03-15,9512.46,9512.46,8307.22,8307.22
2018-03-19,8359.37,8520.01,8063.41,8217.84
2018-03-23,8640.52,8970.32,8640.52,8736.39
2018-03-27,8824.59,8824.59,8186.2,8186.2
2018-03-31,7836.76,7930.78,6897.27,6897.27
2018-04-03,6975.28,7080.42,6836.57,7080.42
2018-04-07,7464.36,7464.36,6628.75,6628.75
2018-04-11,6884.48,6984.81,6778.49,6829.32
2018-04-15,6925.1,7897.72,6925.1,7897.72
2018-04-19,8258.07,8258.07,7873.64,8097.42
2018-04-23,8277.46,8878.43,8277.46,8769.01
2018-04-27,8881.39,9716.49,8825.2,9221.87
2018-04-30,8940.38,9325.63,8940.38,9325.63
2018-05-03,9198.19,9198.19,9024.39,9122.65
2018-05-07,9551.14,9766.24,9551.14,9583.87
2018-05-11,9308.27,9308.27,8969.94,8969.94
2018-05-15,8405.56,8696.97,8405.56,8696.97
2018-05-19,8473.35,8473.35,8056.05,8202.83
2018-05-23,8180.63,8443.26,8009.3,8009.3
2018-05-27,7556.32,7563.44,7328.87,7328.87
2018-05-31,7326.64,7451.23,7111.07,7380.85
2018-06-03,7460.17,7567.51,7460.17,7567.51
2018-06-07,7639.88,7639.88,7463.65,7605.58
2018-06-11,7613.78,7613.78,6767.5,6767.5
2018-06-15,6880.13,6880.13,6334.1,6644.72
2018-06-19,6406.81,6677.53,6406.81,6677.53
2018-06-23,6708.68,6714.38,6088.58,6088.58
2018-06-27,6169.44,6241.85,6069.87,6069.87
2018-06-30,6117.04,6182.26,5879.99,6182.26
2018-07-03,6366.5,6595.55,6312.88,6595.55
2018-07-07,6497.61,6603.29,6497.61,6603.29
2018-07-11,6759.84,6759.84,6303.38,6303.38
2018-07-15,6373.23,6373.23,6230.59,6246.14
2018-07-19,6349.7,7334.77,6349.7,7334.77
2018-07-23,7442.8,7442.8,7331.87,7395.87
2018-07-27,7705.0,8422.37,7705.0,7929.08
2018-07-31,8145.33,8197.59,8145.33,8185.92
2018-08-03,7738.25,7738.25,7540.63,7540.63
2018-08-07,7411.67,7411.67,6926.12,6926.12
2018-08-11,6711.73,6711.73,6166.59,6166.59
2018-08-15,6205.22,6318.41,6205.22,6212.23
2018-08-19,6267.77,6566.72,6267.77,6382.06
2018-08-23,6475.49,6475.49,6242.88,6336.66
2018-08-27,6521.07,6736.04,6521.07,6728.29
2018-08-31,6911.1,7075.98,6911.1,7024.15
2018-09-03,7027.63,7305.27,7027.63,7305.27
2018-09-07,7260.9,7359.46,6498.28,6498.28
